Modality,Acc,F1,ROC_AUC,Method
EEG,0.8591160220994475,0.8367667490721232,0.8957699075873384,Baseline
EYE,0.9447513812154696,0.94318040203472,0.9583292848814612,Baseline
GSR,0.949585635359116,0.94838141872715,0.95642111456579,Baseline
TIVA,0.9468232044198897,0.9456206923228504,0.947901822343136,Baseline
EYE,0.9447513812154696,0.94318040203472,0.9583292848814613,KD
GSR,0.949585635359116,0.9483814187271499,0.9564211145657899,KD
TIVA,0.9468232044198895,0.9456206923228505,0.947901822343136,KD
