Modality,Pair,Acc,F1
EYE,eeg2eye,0.7517241379310344,0.6928015255045288
GSR,eeg2gsr,0.7517241379310344,0.6928015255045288
TIVA,eeg2tiva,0.7379310344827587,0.6917000516135373
IVT,eeg2ivt,0.7482758620689656,0.6863806854421083
