Modality,Acc,F1,ROC_AUC
EEG,0.8591160220994475,0.8367667490721232,0.8957699075873384
EYE,0.9447513812154696,0.94318040203472,0.9583292848814613
GSR,0.949585635359116,0.9483814187271499,0.9564211145657899
TIVA,0.9468232044198895,0.9456206923228505,0.947901822343136
